Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f,tn-r1-f,tn-r2-f,tn-rl-f
1e-10,0.5682429375416774,0.4659935070828222,0.4935547523533179,0.44142565907610576,0.37226767506375263,0.38655154858354823,0.5135643163359178,0.42822838309237576,0.4505898513648247,0.490588947,0.381699937,0.445846941
2.5e-10,0.5697735904121614,0.4640487396917415,0.4936381397873426,0.4435002371574079,0.3718605140228778,0.38797289851239314,0.5177393583525952,0.4291730611292736,0.4534670898637367,0.490588947,0.381699937,0.445846941
5e-10,0.5808937925653757,0.46433047198291,0.49748284733839937,0.4544035971440396,0.3700105075613308,0.3900008857755727,0.5283322272550739,0.42826409654934283,0.4563284361331453,0.490588947,0.381699937,0.445846941
7.5e-10,0.5853568305291952,0.4751121974555282,0.5064868747481088,0.46087834176200904,0.38289773174566766,0.401205263483933,0.5327219750249844,0.43861828017782767,0.46503592100340374,0.490588947,0.381699937,0.445846941
1e-09,0.5850287246707571,0.47176738766815146,0.504598644458344,0.4599532958498802,0.38026258467017476,0.39932166532724056,0.5342199974858466,0.4366927601835844,0.46455871689892914,0.490588947,0.381699937,0.445846941
2.5e-09,0.5737244236109218,0.4629958175660135,0.4949071680056803,0.444278169830387,0.3651531383670344,0.38466603475618116,0.5189405009389431,0.4242917091492142,0.4514048660113629,0.490588947,0.381699937,0.445846941
5e-09,0.5713450645498168,0.4644576275697044,0.49459574074845974,0.4463959334656479,0.37055612570552804,0.3885739638410736,0.519385948730854,0.4280694256465179,0.45349105309198656,0.490588947,0.381699937,0.445846941
7.5e-09,0.5757935670479406,0.4654255943560581,0.49643069183583494,0.4503343924230884,0.37195840217442655,0.38967515580493256,0.5220886300660805,0.42788627172343024,0.4538156805589369,0.490588947,0.381699937,0.445846941
1e-08,0.5750943763317359,0.4691693250701514,0.4985493652885395,0.4483559353475044,0.37546208557213967,0.39170777293273024,0.5228797657362841,0.4334872653696287,0.4578138813791446,0.490588947,0.381699937,0.445846941
2.5e-08,0.5787664211966231,0.4662003244556655,0.49907506013117403,0.4513387128584563,0.37278053554064894,0.39223621116103974,0.5256517925589436,0.42963451639348843,0.45739660382100644,0.490588947,0.381699937,0.445846941
5e-08,0.5874073590672106,0.47357579325827415,0.5058046193507326,0.46373241957694933,0.38267158635577364,0.4014325835854712,0.5341425946433035,0.4373791129658287,0.46424258736954116,0.490588947,0.381699937,0.445846941
7.5e-08,0.572463845187309,0.46450574848862225,0.4952570075075311,0.44513522905537817,0.36975937498286565,0.38742760713661134,0.5211251569631424,0.42849424987340756,0.4543924045695044,0.490588947,0.381699937,0.445846941
1e-07,0.577444754857113,0.4636852413852954,0.49668192921033233,0.4530190241685824,0.3722862762208895,0.3917980445580861,0.5248896072158076,0.42711596771336435,0.45522641924399837,0.490588947,0.381699937,0.445846941
2.5e-07,0.5754054868248741,0.46600744332486654,0.4975293527823851,0.4487872217359399,0.3731672888007926,0.3910268051355382,0.5227080096436589,0.43044594536038683,0.4567136414482033,0.490588947,0.381699937,0.445846941
5e-07,0.5792016602197975,0.4705226978073856,0.5013593073978789,0.4524825193924243,0.3777743976282222,0.39491635878198944,0.5267329414355426,0.43440278900576235,0.4601572828079949,0.490588947,0.381699937,0.445846941
7.5e-07,0.5741577200711894,0.4635426127099831,0.495075335854433,0.4453428267491054,0.370190907292993,0.387499822475482,0.5189672552698752,0.4257839009212904,0.4518785101171733,0.490588947,0.381699937,0.445846941
1e-06,0.5771096631759339,0.4684066437667224,0.49917288691469575,0.4494621462317269,0.3741469311523505,0.3913913946277977,0.5236375915506083,0.43136655292836806,0.4570648662509841,0.490588947,0.381699937,0.445846941
2.5e-06,0.5783593973336979,0.4682201789220372,0.4994145265604074,0.45107154968744223,0.37434781216141244,0.39186462815994816,0.5253509044231031,0.4317738271264855,0.4577352967347247,0.490588947,0.381699937,0.445846941
5e-06,0.5727800661147548,0.46518198481246914,0.49541844691552916,0.445062918028702,0.37139336480499774,0.38833124154405857,0.51704537797574,0.42621203560457704,0.45125790273336536,0.490588947,0.381699937,0.445846941
7.5e-06,0.5882093790802532,0.4729004179519838,0.5058238702218976,0.4615861134919571,0.3807039560279098,0.3996139710898781,0.5361446758250724,0.43685771922520644,0.4648396608363939,0.490588947,0.381699937,0.445846941
1e-05,0.5719580516226376,0.46241756865941935,0.49295734788376977,0.4450178797411197,0.3677162210921477,0.385350140549283,0.5201084526379713,0.42660308826743526,0.4523027957962683,0.490588947,0.381699937,0.445846941
2.5e-05,0.5836290420958548,0.4703659286464315,0.502664929929643,0.45919875979420666,0.38021890811412684,0.3984195820866685,0.5320808382084191,0.4355771542363411,0.46262698332802527,0.490588947,0.381699937,0.445846941
5e-05,0.5649188799396971,0.4596446241981837,0.4896209571791545,0.43520386596868704,0.36336032148826597,0.3801016546288844,0.5109141634892173,0.42193032418427345,0.4468915552121881,0.490588947,0.381699937,0.445846941
7.5e-05,0.5729042650315407,0.4637477536953789,0.49544731046234913,0.4457835214466589,0.369931920283512,0.3881816617079821,0.5193246875744827,0.4268130865261862,0.4533119328929206,0.490588947,0.381699937,0.445846941
0.0001,0.5726868929334907,0.46062393266447677,0.4925791379523398,0.44696037723958243,0.367698407156032,0.3863070318936718,0.5197015741654308,0.4242727786961156,0.4509777818540947,0.490588947,0.381699937,0.445846941
0.00025,0.5825928232919074,0.4707319205515938,0.5025822107387373,0.4603272670645808,0.38234181902969455,0.40012311610316864,0.5309972218135661,0.43585028538056014,0.4625821046451184,0.490588947,0.381699937,0.445846941
0.0005,0.577056475407023,0.46608239197254336,0.4976021472276295,0.45080481607268913,0.3710101034467677,0.3899737178425487,0.5235592463670097,0.4288514052950274,0.4554076079497187,0.490588947,0.381699937,0.445846941
0.00075,0.5828247031134475,0.47039087551123254,0.5031481880775021,0.4574172402912169,0.37821071489566066,0.3973906260461638,0.5292431797338797,0.4333743273495827,0.4610402348340366,0.490588947,0.381699937,0.445846941
0.001,0.5770916542710779,0.46719446942181647,0.4977824390917369,0.4505688402136526,0.37485406604954014,0.39151290527251625,0.5255579002410351,0.43116841728353117,0.45710103111299977,0.490588947,0.381699937,0.445846941
0.0025,0.5753579844455682,0.4637911936628394,0.4954655712782749,0.44794912406131493,0.3698228300661296,0.3881276642987687,0.5203496506367356,0.42564889090959646,0.4521866835030554,0.490588947,0.381699937,0.445846941
0.005,0.5710658307737158,0.46598483862676315,0.49433009420048546,0.44513435058807044,0.3712620554126184,0.38741327106931217,0.5190393084326403,0.4279810895586753,0.4524086406251865,0.490588947,0.381699937,0.445846941
0.0075,0.5623009800588975,0.46985328661979964,0.4912002716729562,0.441241627251027,0.37721533440941807,0.38702228023935203,0.5113011955957458,0.43152303829556904,0.44956862580787244,0.490588947,0.381699937,0.445846941
