Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f,tn-r1-f,tn-r2-f,tn-rl-f
1.00E-10,0.570462673,0.460894984,0.492339739,0.445567957,0.367101077,0.386032761,0.520215135,0.425517789,0.452476606,0.490588947,0.381699937,0.445846941
1.00E-09,0.575010849,0.466474481,0.496394462,0.448649156,0.373559193,0.389948015,0.519837228,0.428899549,0.453340153,0.490588947,0.381699937,0.445846941
1.00E-08,0.578801333,0.46809585,0.499543816,0.456075089,0.377090639,0.395586981,0.528500594,0.433538381,0.460106794,0.490588947,0.381699937,0.445846941
1.00E-07,0.580740707,0.464716758,0.498370586,0.453534169,0.37049548,0.390708236,0.526500518,0.427137869,0.455622604,0.490588947,0.381699937,0.445846941
1.00E-06,0.576435454,0.467677111,0.498438578,0.448905493,0.375184113,0.391907202,0.523510721,0.431550126,0.457136671,0.490588947,0.381699937,0.445846941
1.00E-05,0.575992961,0.468533388,0.498168047,0.453435296,0.377061462,0.394326662,0.523098924,0.43211015,0.456713558,0.490588947,0.381699937,0.445846941
0.0001,0.57505524,0.463723906,0.495700087,0.451153212,0.371532162,0.390655212,0.524375188,0.428554506,0.455709251,0.490588947,0.381699937,0.445846941
0.00025,0.578160513,0.468250453,0.499937805,0.450472825,0.37468644,0.392409388,0.523441382,0.43004489,0.456562007,0.490588947,0.381699937,0.445846941
0.0005,0.573555288,0.465148328,0.495823055,0.448810599,0.373498911,0.39080945,0.524114162,0.431204531,0.45717485,0.490588947,0.381699937,0.445846941
0.00075,0.575618073,0.465678573,0.496846871,0.448645203,0.371358422,0.38945241,0.520895973,0.427085361,0.453373719,0.490588947,0.381699937,0.445846941
0.001,0.565234027,0.457769274,0.488123226,0.436517498,0.363152859,0.379653745,0.512761551,0.420787623,0.446322137,0.490588947,0.381699937,0.445846941
0.0025,0.562824095,0.469158284,0.49062042,0.440724566,0.374107173,0.385633723,0.514696232,0.432912199,0.45148634,0.490588947,0.381699937,0.445846941
0.005,0.528443099,0.476200954,0.476031091,0.409833834,0.381977523,0.373369947,0.480070093,0.438792961,0.436378792,0.490588947,0.381699937,0.445846941
0.0075,0.468168365,0.493661231,0.448424811,0.362839055,0.393943896,0.349320274,0.430304659,0.455967353,0.414045268,0.490588947,0.381699937,0.445846941
0.01,0.395466676,0.515931303,0.416987542,0.301108294,0.41405943,0.320669853,0.363546226,0.475900309,0.384320098,0.490588947,0.381699937,0.445846941
0.025,0.270343937,0.469406344,0.328742773,0.185478912,0.36858324,0.235007368,0.244832002,0.431859401,0.299781099,0.490588947,0.381699937,0.445846941
0.05,0.39426653,0.459160378,0.399041105,0.286212203,0.359118781,0.297195366,0.356515962,0.421294001,0.363974975,0.490588947,0.381699937,0.445846941
0.075,0.470471712,0.457337358,0.437141397,0.352723419,0.361100909,0.332633786,0.426002065,0.420334514,0.399215173,0.490588947,0.381699937,0.445846941
0.1,0.498868778,0.449198365,0.451261938,0.372585522,0.35310211,0.342627232,0.449040101,0.410739691,0.409887429,0.490588947,0.381699937,0.445846941
0.2,0.548241862,0.446900849,0.474931166,0.410562576,0.350792635,0.36217657,0.490661587,0.406622724,0.429380167,0.490588947,0.381699937,0.445846941
