Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
7.5e-07,0.5344289481536658,0.4334522302343081,0.46227468713106146,0.38467918723494865,0.33673470630492347,0.34495030266243176,0.4727786543724683,0.3907578616091603,0.4136371100722178
1e-06,0.5339297003381754,0.4338917338790819,0.46232833547288865,0.38453356416119555,0.3377065060198184,0.3453414837853589,0.4732079344694437,0.3917899940695085,0.41440844904980445
2.5e-06,0.5345652433349839,0.43427958069119377,0.46334865704722106,0.38615731038460077,0.33890596223764785,0.34723186882320983,0.4753667032856846,0.39372534467872516,0.41690199801982
5e-06,0.5318120018676006,0.43312239419705617,0.46140733158520325,0.3828555583399041,0.336707735555675,0.3444059580520155,0.47106652558523104,0.39092480540876945,0.4133905089376641
7.5e-06,0.5333352189664948,0.43498392750952947,0.4627876078067754,0.3851927684252064,0.33937456727065846,0.34655290924277427,0.4740940180010375,0.39393918311182047,0.41599588765705203
1e-05,0.5311371214232917,0.43266157357999485,0.4609246265199495,0.38183835766388585,0.3361313820454061,0.3437362045919902,0.47071148228354204,0.3907427587573933,0.4131826460784378
2.5e-05,0.5339438052938943,0.43431599897093737,0.4625503626322153,0.38457017687804074,0.3377781556251821,0.34530358273640904,0.4730514995788088,0.3924200495054311,0.4147152810644083
5e-05,0.5344789068282615,0.4348672633117981,0.4635220081257052,0.38564048637934983,0.33874095444069274,0.34672970151428795,0.47517799118846027,0.3939080782116983,0.41679075950740263
7.5e-05,0.5311187086973096,0.43283644955680717,0.4611187574735631,0.381300248611162,0.3363970346815256,0.3437860015170291,0.4709760663087834,0.39125617943308183,0.4136968772688686
0.0001,0.5322819238956112,0.4334537582567605,0.461615814138539,0.3842631774375232,0.3378705468918453,0.34554058246895214,0.4730990746623967,0.39274287199695485,0.41510830344745936
0.00025,0.5367314311685273,0.43459055769022503,0.46422086764023907,0.3862570591608833,0.3380129636004589,0.34662509943636854,0.47483737307128776,0.3922804268377346,0.4157330589660406
0.0005,0.5349471457473158,0.43362679756246614,0.4628478672099582,0.3865851644057237,0.3371384770343702,0.34598827699665924,0.47544200639537604,0.39213804148161685,0.4156643281365882
0.00075,0.5303209944858224,0.43185697696741054,0.4600177073738765,0.38078483596632917,0.3354289398803936,0.3429251766366668,0.4691053274009297,0.3897373509150585,0.41191058182555357
0.001,0.5362413109456028,0.4363069397796356,0.4649001726490101,0.3878164688309032,0.34083036299792235,0.34859022094895675,0.47584590349381234,0.3950909920707633,0.4176718682387948
0.0025,0.5353430006285748,0.4350112610613759,0.46404777262279356,0.3875586519200993,0.3394105117623471,0.3479205142231497,0.47526901065967697,0.3933292309804643,0.41658053672116924
0.005,0.5337525914833392,0.43681352333974865,0.4642238161056263,0.38622262725180817,0.34137144086632365,0.34820257831573215,0.4749714045756121,0.3961833384984777,0.4178445464920845
0.0075,0.5205019755474843,0.4386405230360242,0.4570781242518391,0.3762474239457784,0.34338746810826826,0.3427595461686435,0.4623205510526719,0.39717678032144155,0.4106862790579105
0.01,0.4661324812544524,0.44786969947975225,0.42926023135427155,0.3368773418448022,0.3512362275176979,0.3201114394836637,0.41413893579649075,0.40619548667648414,0.3856710264301243
0.025,0.3155306874750177,0.467912673671071,0.34471860425335976,0.22275780465758685,0.3757957912682799,0.2529135747934722,0.28461650139908273,0.43062138412483425,0.31397944212295065
0.05,0.46961046150200336,0.4479591516834068,0.4316954710959463,0.3362407244338927,0.3524738711006692,0.3214841534247512,0.4162750838666803,0.4061664667095768,0.38745276804282236
0.075,0.49853998112940523,0.4375072730818429,0.4446066837266681,0.35922237546923874,0.3433843278557303,0.3328190968195501,0.44251240099110456,0.39676224113325137,0.3995607505138086
0.1,0.5149323358358864,0.43818872275987897,0.4534265474813773,0.3729603628701096,0.34438439735721826,0.3407280718755823,0.45713247717890954,0.39708043519615444,0.4074018053691156
0.2,0.5392004557046673,0.4357092926798658,0.4650407043958586,0.38898134437768106,0.33661820079707977,0.34586979986513705,0.47746053523666093,0.39318587902691804,0.4164823423434964
0.3,0.5441987976483011,0.442061250777859,0.4711592712259098,0.3971309285015968,0.34380159161078777,0.35348689970394465,0.4809343763061597,0.39831213202577925,0.4211777381602535
0.4,0.5466364271349448,0.44669360613820197,0.4751430500245638,0.3988921809173002,0.34722410648123936,0.35672716423209694,0.48078869959542336,0.40065649249215746,0.4229367573159921
0.5,0.5577262608603439,0.45416717542098917,0.4833727470165549,0.414324697592057,0.356858541533213,0.36755296538916604,0.49388343313503014,0.4096335603795487,0.4327558955361664
0.6,0.5607540001524842,0.45587434214257344,0.4853685405952765,0.41831528322206096,0.35925348071630947,0.3701412588989639,0.4980881449007837,0.4119017264231176,0.43543263884879546
0.7,0.5645811370347781,0.45637389422596586,0.48694631360916907,0.421875890160249,0.3596798810836922,0.3716143538759528,0.5013498525621023,0.41264227134368814,0.4370212324742888
0.8,0.5641628841430351,0.4547607168633334,0.48618506690645674,0.4226086194153174,0.35868049121717,0.3717546648519333,0.5019686399311877,0.4119862303418151,0.4372486872045986
0.9,0.5587740489168871,0.4517029741154727,0.48206201614464333,0.4169086175922648,0.35461621992880016,0.36687673801968157,0.4952248861557013,0.4080289881115864,0.4320670110318766
1.0,0.5628216879061422,0.4567290316021008,0.48685663437700427,0.4215858864714145,0.3600418056293532,0.3721465143042005,0.5014396754793341,0.41426875273061337,0.4383729885082182
2.0,0.5617904964730949,0.4535050565487881,0.4848169869493734,0.4204779046213781,0.3562554211033722,0.3700124045828274,0.49960173183710743,0.41075046608399457,0.4358995502026436
3.0,0.560629740613521,0.45203578815545853,0.4835452067136354,0.4188183230680263,0.3545048126702015,0.3684114338959453,0.4993503886942703,0.40988281682605193,0.43530044587574934
4.0,0.5666810818996126,0.45502873364122975,0.48761649268604645,0.4249377012159464,0.35736455836151015,0.3724472838184307,0.5047134240925205,0.4123428274516625,0.4388632835755579
5.0,0.5669203817186099,0.45552875398480375,0.4884102063084709,0.4257735094026098,0.358769186429614,0.3739417420981663,0.5057674426119085,0.41348126409147984,0.4403013365391996
6.0,0.5709932903087742,0.4572455434890044,0.49108441040628437,0.43079190629171904,0.36206902294585536,0.37789086858657606,0.510127499232762,0.4159348359781537,0.44357520232101505
7.0,0.5701243865324184,0.4563227267872111,0.4899520223441206,0.42901788825862525,0.3598274454865101,0.3756560795398811,0.508834716082107,0.414395237389366,0.44191440179713476
8.0,0.5673165880052098,0.45448818390053985,0.4878159418308007,0.4254364056868925,0.3580880283719965,0.373377895829945,0.5057133581080276,0.4126128501321804,0.4396638992364602
