Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5338006615194233,0.433956078758862,0.46236348293279905,0.385713620357469,0.33822968228360445,0.34609284505552357,0.4734068700403815,0.3924206950060464,0.41489259084242586
2.5e-12,0.5340015171625384,0.4354130038492719,0.46351929743815407,0.38408171560385745,0.3389130225906688,0.34607910547188653,0.4731270202582474,0.3935539960803946,0.41571428849403896
5e-12,0.5327238550730667,0.43161202709232055,0.460794252954006,0.38248108916612844,0.33496293839011404,0.34323763339772295,0.47083085480082054,0.38910811922043603,0.41218455923835684
7.5e-12,0.5336357624124688,0.43446735530605274,0.4630116666407108,0.3838415094493981,0.3377358994523626,0.34550206308158904,0.47244447624533603,0.3921318594121071,0.4147110391414755
1e-11,0.5321554271819958,0.4325483013291629,0.46114527557563745,0.3832725013434261,0.33643450285991106,0.3444088603117666,0.4727748994558385,0.39130370747056814,0.4142345133085367
2.5e-11,0.535687202612819,0.4359508025974616,0.46430485808527744,0.38699130789197833,0.3401306141388305,0.3477078428942645,0.47548875147570563,0.39445481136371396,0.4169076082971793
5e-11,0.5298472016727155,0.4321328685917158,0.4599692425598965,0.38057502836045853,0.3351385496272932,0.3425395875471011,0.4690518276489834,0.3897570887467722,0.41182709891407926
7.5e-11,0.533878447566077,0.4337782969830056,0.46236433153681084,0.38388828260561847,0.3366861860957454,0.344580109243717,0.47281640040251527,0.3915993988657872,0.41425453843073323
1e-10,0.535713715617583,0.4369168624401412,0.4651500314490099,0.38788826847912805,0.3416902670957512,0.34922825896962867,0.4769346453969935,0.3965596410734239,0.419037569008915
2.5e-10,0.534177806051761,0.4333405943021121,0.46248786638468437,0.38420669927917367,0.33712616048540645,0.3452268948505619,0.47345845672521414,0.3914921489044345,0.414689116876321
5e-10,0.5336890139918397,0.433198495352941,0.46208780832262786,0.3851327900487982,0.3371451292622249,0.3453674712809052,0.4737982107638702,0.3917453166537498,0.41481905280847153
7.5e-10,0.5341061677275174,0.435101634607596,0.4632047994724914,0.38426815256945324,0.33885091313721055,0.34594618565632673,0.4724820227182964,0.39267463190982055,0.4147756508009564
1e-09,0.5334290284788457,0.43295690874185283,0.4619469296151837,0.3836710293581286,0.3364901893971216,0.3445776997618961,0.4727202698043238,0.39105021632117454,0.41412302964753506
2.5e-09,0.5310086697856868,0.4322014018540448,0.460806927705984,0.38215855454705344,0.336293451239568,0.3441239255269184,0.470402507839481,0.3905235999441366,0.41317506221102973
5e-09,0.5359468785236101,0.4349051800781498,0.4638159286933145,0.3872135981550143,0.33915943872297294,0.3473301358189466,0.47511052274820037,0.39334894150084665,0.4162197161569909
7.5e-09,0.5358759737679664,0.43536108660286366,0.4643362750908773,0.38638402565460067,0.33906224996090684,0.3472353203186153,0.4750549628128472,0.39356304175955087,0.416577234296126
1e-08,0.5289628450419375,0.43074549191529815,0.45868007426872437,0.3791984054885328,0.33381244960038403,0.34115255148953666,0.4690291539506281,0.3891566740923416,0.41138119608747575
2.5e-08,0.5347984693328391,0.4349137144074833,0.4638591556348099,0.3862940885053526,0.33908198396774014,0.34732694621994536,0.47540661963757674,0.3938630858788689,0.4170091476969582
5e-08,0.5332013637070954,0.4335894938027986,0.46192789886297697,0.38375625932243085,0.33712327438497863,0.3447214762001099,0.4717995499562082,0.3912713021923137,0.4136058356795795
7.5e-08,0.5349175429564871,0.43543777989485616,0.4639823749206084,0.38527286287198725,0.33935632560082873,0.3469529731450919,0.4739802735971522,0.39361323056593733,0.4161502015121287
1e-07,0.5384350130519887,0.4369997632383478,0.4660294203137971,0.39005665865520095,0.3412384499241272,0.3495065287799712,0.478223120524888,0.39538112464008374,0.41851047618665904
2.5e-07,0.5361352349093089,0.436054552922365,0.4648936333336517,0.38838505590287903,0.34066339434509024,0.34894671936842153,0.47614006494627525,0.3947729250779622,0.41770048711703966
5e-07,0.5321621838582824,0.4331348912985256,0.46151039816126815,0.3824186428398525,0.3364580354154993,0.34409835580604003,0.47061429881271416,0.3901970870397367,0.4127329657117948
