Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5347387930352039,0.43372826384025237,0.4629848053666275,0.38585588226137546,0.33782117278350016,0.3463985355313464,0.47476676519543876,0.39228927639419575,0.41569998036120037
2.5e-12,0.5313434564354649,0.4340430212964213,0.46160896835239773,0.3824049772211184,0.33788107508375875,0.34469093578062204,0.4709981794064365,0.3921875529398322,0.41393940115105377
5e-12,0.533724850628791,0.4337344788138341,0.46197647594733504,0.3843005456690112,0.3371351504685758,0.34481749201702827,0.4720226686973037,0.39127549695576114,0.41355350634551274
7.5e-12,0.532679683742851,0.43297106076521896,0.46139884465833547,0.3827421723412807,0.336528021441717,0.3441005067746659,0.4715883531133235,0.3910785717599309,0.41350115063796283
1e-11,0.5363463230702837,0.43493790076282884,0.4640644856618992,0.3891657177723952,0.3398157156720742,0.34851307845165186,0.4766029579787659,0.3937859363763372,0.41707351258061165
2.5e-11,0.5330865876579305,0.4335792000500631,0.4618127402621252,0.38375722600534806,0.33685111492441927,0.34447494972573584,0.4720428064073217,0.3912914297396557,0.4136582996365811
5e-11,0.5306777571199437,0.4337522550103902,0.46130349891881123,0.382740145907838,0.3383440370068697,0.3452702416222954,0.4700685128279412,0.39205541631370744,0.41367428791534966
7.5e-11,0.5302684676768206,0.43134981730507677,0.45980305047993875,0.38067904007297637,0.334298888613633,0.34214531526329156,0.46965443822547304,0.38906007796320946,0.4117937799185021
1e-10,0.5320294013378754,0.43308906440570244,0.4612878625863018,0.38285301820434997,0.3363243262917004,0.3440004506121562,0.47033151237790544,0.39020300785374656,0.41248798030406886
2.5e-10,0.5335393244413126,0.4351969908458966,0.46364593757875544,0.38522486082059804,0.33938032104535326,0.3473316723971071,0.47360211998831653,0.39375435409559223,0.41641757814795766
5e-10,0.5299671365331488,0.4324039662721062,0.46022980077591497,0.3808524703756703,0.33617445049357003,0.3433618444463297,0.47001764070456764,0.3910820907049895,0.413065249105141
