Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5332761695496929,0.4337928879465292,0.4624633700969966,0.38406761238244613,0.3373735456624958,0.3452849944239876,0.47287460673672393,0.39204438042525014,0.4148421788060764
2.5e-12,0.5357484952257994,0.43566370983984265,0.46426088436175367,0.3869704793920952,0.33994579379016526,0.3477785886320225,0.4754357211747957,0.3941162803156291,0.416832671159257
5e-12,0.5323430203390851,0.43269168536454744,0.46098771476789036,0.3834637713736947,0.3356846902804948,0.34359487460079924,0.4704143625270905,0.3896100392081791,0.41203823645504933
7.5e-12,0.5337526000029228,0.4335754527900429,0.46239555196871585,0.3846327892036276,0.33666908708299775,0.3450838610062539,0.4728024062329238,0.39105511985421326,0.4140885869894452
1e-11,0.5313604820324542,0.43284015426719497,0.4607615934767299,0.38160957986938926,0.3360841155740889,0.3433499060464718,0.4699727765477392,0.3903947571325806,0.4124121357761389
2.5e-11,0.5328079598598789,0.43385977279847676,0.4619770991222552,0.3829555839205226,0.3368089226925445,0.3441497035427341,0.4717065945454105,0.39134889135828377,0.41363379288467333
5e-11,0.5330698666092754,0.4331292107548378,0.4617522222578958,0.38411059044067797,0.33684264414683496,0.3448058718372815,0.4722656399339915,0.39133802516848215,0.4140140227711447
7.5e-11,0.5333257328148139,0.43346333403032516,0.4618030057931,0.38546120097979164,0.33768492165538827,0.3456422805945144,0.4728926171066719,0.39141481471995343,0.4140193973211922
1e-10,0.5372431100920516,0.43728697863773136,0.4657750006986722,0.388191161614596,0.3416378700408769,0.34928204004855096,0.4778681669540449,0.3963608203625225,0.41908154957519883
2.5e-10,0.532610635813179,0.433579198227874,0.46150736854049035,0.384309707539109,0.33747413181209585,0.34485355423285396,0.47238146300564154,0.3917431436336605,0.41389219778379843
5e-10,0.5325641658249304,0.4349394627251637,0.46276950821449836,0.383384814680171,0.3385612115718052,0.3456909023024546,0.4712345322388197,0.3928424903249759,0.41462685760675566
7.5e-10,0.5297755678882994,0.4325206519479162,0.4600347013501913,0.3814319953089633,0.3360763439323002,0.3432794989487438,0.47035216982757094,0.3910634462988281,0.4129631514692469
1e-09,0.5284708164991136,0.4305394711548776,0.4583023782600876,0.3782159089155444,0.3328302060661224,0.34007473167556607,0.4664882929806802,0.38750311995945136,0.40934229800154964
2.5e-09,0.5336700759936395,0.43491166288451405,0.4628893071730028,0.38490457662902433,0.33896304914658865,0.346256092876028,0.47254976465952386,0.39265772377494124,0.4147491822134505
5e-09,0.5341575569601186,0.4344769652585212,0.4631174932096795,0.38410166200623236,0.3380278547068753,0.3457777876272178,0.47286836978691094,0.39252682079460954,0.4151380201818374
7.5e-09,0.530060901352688,0.43255971808494126,0.46014055426297384,0.3811206911221988,0.3360751777761254,0.3430901864881157,0.469880319992742,0.3908780011504748,0.4126949417398874
1e-08,0.5330804006013318,0.4334124732557861,0.46185472461416466,0.3839631283746644,0.3366266187912034,0.34462620162371144,0.4720141727709613,0.3910246535780673,0.4136623582538894
2.5e-08,0.5304538971315601,0.4327904917529912,0.46064840279024827,0.38104311530969365,0.3359969225924258,0.3432292260356096,0.4699904358082009,0.3908976107289645,0.4129254412699606
75e-08,0.5330504602700378,0.43271245744625264,0.4614120102824772,0.38214991540431326,0.3351514590359515,0.3430076864398223,0.4722674571908612,0.3906922645257284,0.41352873013418856
7.5e-08,0.5328878855875955,0.4323603992691785,0.4610324037031603,0.3831052233149742,0.33537937846547733,0.34328727646522256,0.4728025581710881,0.3904991086230746,0.41345695086448614
1e-07,0.5369457565597994,0.43656727660085787,0.46542732957029265,0.38822226842773067,0.3407279520379946,0.34885139345038063,0.4766048993819296,0.3950105818514076,0.4180005586207838
2.5e-07,0.5340118069487476,0.4339416857478892,0.4625172822910722,0.385627516329654,0.33808000042290187,0.34597389580304383,0.47321536626087174,0.39188853688506486,0.414614645324657
5e-07,0.5315417649765692,0.4320522016904571,0.4606101834915153,0.38127142312969026,0.33505713958712136,0.3427917506571269,0.46994639226545104,0.38950875558961384,0.4120972296559911
7.5e-07,0.5325312030696897,0.43303452192314834,0.46145917726154634,0.38297155714921777,0.3360659438552459,0.3439876474605597,0.47085501020771137,0.39016984376423236,0.41271568457443325
1e-06,0.5335183783244255,0.4343300517707693,0.4626570205245736,0.38422816240574215,0.3381534601518669,0.34578569200107917,0.4726107596296148,0.39209984749504867,0.414579016261236
2.5e-06,0.5331957058876942,0.43423311874803233,0.4624230140228582,0.38438018504655563,0.3378684244144611,0.345607678859758,0.472024275138907,0.39193660294061794,0.4142472279184201
5e-06,0.5330006976307968,0.4330742859709147,0.46162237190622313,0.3830522131758833,0.33650818725778087,0.3441452976477099,0.47169137794845456,0.3908573532039792,0.4134207898209014
7.5e-06,0.533003580387666,0.43339323866592827,0.4619654120571207,0.3828173198135217,0.33655177160928174,0.34421147399855534,0.4722220748761774,0.39141617914475146,0.4140597639423421
1e-05,0.5330890086317579,0.43363993463934447,0.4621065669801667,0.38306349427699593,0.3367039548977968,0.3443333211865399,0.472655554253047,0.3918425809229125,0.4144371885133069
2.5e-05,0.5323725780808578,0.4326188120965503,0.46117131104176917,0.3834014332662649,0.33594905346893844,0.34395999693502133,0.4715257501493443,0.39013633831306327,0.4129256373053062
