Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5608294172823436,0.4596655065373405,0.48800360355311134,0.4307783136302348,0.36424580719020205,0.37882430738857503,0.5063814280903594,0.4209212194562956,0.4444691569549806
2.5e-12,0.5643058604068684,0.46651875724157343,0.49224725688598636,0.4363321736382483,0.3728077930511865,0.38486611445149566,0.5087312878424282,0.4280902371204319,0.4484896949999863
5e-12,0.5643535702381057,0.4626937888735309,0.4906437153901543,0.43953638907943876,0.3691656954820717,0.38428355289636085,0.5117342070652239,0.4252710555967479,0.44849988132920054
7.5e-12,0.5664530149322312,0.46773006095061814,0.4948348683838409,0.4404071566713598,0.37333392286523204,0.38788751809584293,0.513918853655326,0.4307116206755419,0.45303487415087984
1e-11,0.5575092591357085,0.4572038250342139,0.484866961385088,0.4310447209289577,0.36295005812521347,0.37790990313338435,0.5062389136135753,0.4209425541635487,0.4440224884745305
2.5e-11,0.5666701973224343,0.46503636713828755,0.4924555321433548,0.4382131551758176,0.3691293285138863,0.3836028617880204,0.5107846117598995,0.42571051447326197,0.4480722544717959
5e-11,0.5767538684454643,0.4696288638608672,0.49969378656385244,0.45172459644025714,0.3776334823569783,0.39440074020537164,0.5251388951502084,0.4342727832744042,0.4592993093778967
7.5e-11,0.5650326248334144,0.4635566375071409,0.4916705313337694,0.4370337382053216,0.3686855354325298,0.3835869688738928,0.5116143099146341,0.424883802384397,0.4485661231426814
1e-10,0.5714634290805433,0.46650200053547153,0.4953664666265054,0.4438828290881467,0.3721209646706001,0.3876136109596478,0.5180996168034369,0.42992275824939974,0.45359853300355435
2.5e-10,0.5734461386000274,0.467126511035371,0.4972063530053147,0.44489479541137567,0.3739349367619883,0.3899025836320126,0.5189420535743118,0.42938642511743275,0.4543344802184595
5e-10,0.567933880775767,0.4667806085196558,0.4941389533221525,0.4413731821065816,0.3738631809414212,0.38760896196213007,0.5171713662475874,0.43089144779749283,0.4536794041690016
7.5e-10,0.5625032522919392,0.4613331196827331,0.4894173006670836,0.43591664850400647,0.36806735214929476,0.38261473689657854,0.510131632086189,0.42446420968150234,0.44776181721347336
1e-09,0.5648086251107851,0.46125962202665355,0.4906214687985421,0.4365552749561071,0.3673107482136367,0.3827787933824896,0.5112354308672672,0.42376716614251875,0.4482948382814535
2.5e-09,0.5689557210688846,0.4671028741107679,0.49494061170076387,0.44100019834718085,0.3731822665670809,0.3874910257857522,0.5140132346529513,0.428551787703903,0.4514164396204386
5e-09,0.5729236548701859,0.46943733345048605,0.4975876341777149,0.4473117790321537,0.37566504607172774,0.3908131632449418,0.5204160654944681,0.43248614631518234,0.4558753375336882
7.5e-09,0.5721562241741858,0.46859192391301546,0.49739101217520304,0.4470659257331036,0.3742433256876482,0.39030791555793665,0.5191014768668664,0.4305218881027539,0.45474925738472566
1e-08,0.5732983064065004,0.4655653806187247,0.4963606968604495,0.44401097411864515,0.3698091504668757,0.3873473966492641,0.5182342571785918,0.4273781393082062,0.45307880913933934
2.5e-08,0.566598870172347,0.46099755796100333,0.49063882959790966,0.43681262129283505,0.3663332146929505,0.381666955468251,0.5100388817520676,0.4215857766881201,0.4458506858871594
5e-08,0.5696396130149844,0.46462457344512176,0.4942016439381578,0.442567527315146,0.37018608032856537,0.3862866009081592,0.5156230392170321,0.4263285064040683,0.4510554757286092
7.5e-08,0.569075179192735,0.46751022266035136,0.4956236173219431,0.44254256734056774,0.37336086956223624,0.38855780673725987,0.5153008960195293,0.4296662855267084,0.4529576521429433
1e-07,0.5597666837438499,0.45974725219592855,0.4873013764588724,0.43077805850786305,0.3651565563314263,0.3790096206443583,0.5042321342478411,0.4206698048951298,0.4433183704914814
2.5e-07,0.5607650984724523,0.46161637432358293,0.48897997352306893,0.4330986234229036,0.36682204460227563,0.3809106681360329,0.5076248041683356,0.42375380922550676,0.4464367837681189
5e-07,0.571914712142448,0.46718894977927317,0.49562217061765773,0.44561813914061493,0.3727196707628937,0.3880429885387483,0.5183110410128653,0.42904719617835396,0.4528280222250107
