Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5727222519670223,0.4673235679733815,0.4971242362010808,0.44581513785139026,0.3727480297443482,0.3894820445848778,0.5187852350535913,0.42892986766575275,0.45395203660957184
2.5e-12,0.5734209842597322,0.46758612574323744,0.4982033032163444,0.4459797618832173,0.3738482734820666,0.3908127773107929,0.5192813854314274,0.4290904481110451,0.4547960900025119
5e-12,0.569875126300094,0.4666922239529336,0.4953159122411418,0.44057447910080494,0.37146834894988995,0.38622292635077954,0.516289593268333,0.4283603591930817,0.45224117784857193
7.5e-12,0.5719831078613443,0.47062749840285045,0.4987671184539731,0.4448821072560944,0.37655618221864234,0.39149690708383106,0.5178571268779659,0.4325336861665228,0.4557862904233587
1e-11,0.5620857231122065,0.4612966074214072,0.4896597505961208,0.4308593835551717,0.3656009947073709,0.3798085380396244,0.5066602913547722,0.4218962553930342,0.44538903805248353
2.5e-11,0.5675767785933277,0.46660145504419553,0.4937627357803199,0.44078579614008584,0.3724603062582663,0.38661537264856954,0.5157296157135843,0.4301600930071706,0.4527267784135026
5e-11,0.5696986059089456,0.4679980925642378,0.49583594469297243,0.4407984840642388,0.37307216785308733,0.38722968537632413,0.5157696035330142,0.42990932912142366,0.4527918092231471
7.5e-11,0.5637011637093378,0.46685264551532313,0.49281810703362666,0.4346486461660525,0.3718603663654751,0.3843164170305595,0.5082484781587092,0.4276797207046151,0.4486442917954259
1e-10,0.5582316743183479,0.4590942106323408,0.4867866771175034,0.43297245112285343,0.36440307554071505,0.3795672293553715,0.5055150070724881,0.42107029462731915,0.44429742683577184
2.5e-10,0.5701628614198511,0.46920005452220676,0.4969989080485879,0.44171405587490875,0.37384389862556927,0.3882791913486288,0.5161181002050854,0.4308454975701763,0.45375243854797614
5e-10,0.5625844164906542,0.46260019297139815,0.49018934273972753,0.43609151914069794,0.3679479249151972,0.382881817703251,0.5099331730155046,0.4255071023230901,0.44828399347654974
7.5e-10,0.5693267192420173,0.46674308578058615,0.49466986930988344,0.44114794968498455,0.37101344563965777,0.38601444111384314,0.5124945908299775,0.4273939893168455,0.4500068027267996
1e-09,0.5700375704387086,0.4676330033801824,0.49656475447468834,0.44480212093864757,0.3738721933710489,0.3902032914403525,0.518794566747982,0.4310117043842482,0.455395452542772
2.5e-09,0.559683700490753,0.46067533874551336,0.4879285561275552,0.42845770080039325,0.36391015315570396,0.3773736656832031,0.5050996437899302,0.4216332348228671,0.44403321838741605
5e-09,0.5626435313629612,0.4594181155991806,0.4883669419125461,0.4325979314590002,0.36412123657077766,0.3791689553306403,0.5068800648108175,0.4197154300960531,0.4437717067347154
7.5e-09,0.5554168380746964,0.45859448007345344,0.48520084664435265,0.4249750962522905,0.3629440937888692,0.3756086279413299,0.49839018029660404,0.4179721841287768,0.4395126029641378
1e-08,0.5705464604999189,0.4654463710338957,0.49529545895503185,0.4430974747239155,0.37022705404715794,0.387053209031138,0.5168546647289268,0.4272711880699247,0.45232652823939534
2.5e-08,0.5667811453514384,0.4658597304867173,0.4932160260757779,0.4418122326934315,0.37235699491043167,0.38676316244079506,0.515540823168243,0.4289713418684264,0.4518878246576509
5e-08,0.5653001167732018,0.464574106962263,0.4925549447068304,0.43898830011673134,0.3723242328125783,0.3867681392183406,0.5128092588956996,0.4277625088006494,0.45086466241503004
7.5e-08,0.5672193840077311,0.46221776037343865,0.49131084438941963,0.4399977283271868,0.3672377447901013,0.383261958543517,0.513966093727148,0.4246899066566716,0.4489958254274729
1e-07,0.5564806003573044,0.4594717830485765,0.48594729071919146,0.4266638743775735,0.3633510594961972,0.3762194008456437,0.5000866159202842,0.42014920915016835,0.4411687425357824
2.5e-07,0.573075899600331,0.4699246552346638,0.498942883065506,0.44544416952053206,0.3766336590720438,0.39193383126542297,0.5179156996747826,0.43194264811123234,0.4557372179052487
5e-07,0.5674542415746983,0.4664485726527858,0.4945841302189489,0.4400871160181794,0.37253327705859063,0.3870243034213788,0.5132906328475052,0.4280246101054053,0.45127200135139767
7.5e-07,0.5671558422284966,0.4661429482215995,0.49351508375165,0.4411924224899985,0.3717610897822149,0.3862627370648763,0.5143239824712913,0.42851840573086103,0.4513472966624416
1e-06,0.558282751884253,0.4612382220739388,0.4874055724086376,0.4299334064384858,0.3652490704099969,0.37832389929690474,0.503668615764797,0.42204689518440686,0.44344978711690636
2.5e-06,0.5624220407774682,0.46624822692929896,0.4920655876857716,0.4312653364771723,0.37027793290279293,0.38202607530749616,0.5080425672248936,0.42815052419249994,0.4489790127589357
5e-06,0.5662093757265736,0.46503239147682507,0.4923917126271894,0.4405648535145485,0.3692778048504738,0.38481896802875143,0.5116486042120785,0.4261550302092813,0.44868982030547416
7.5e-06,0.5739761898348414,0.4706832198385259,0.4992105021097545,0.4491513385726799,0.37717973622556555,0.3931774599443,0.5206479196058376,0.4331335708545796,0.45677851548989107
1e-05,0.566246614573045,0.4681311722166533,0.49524251984132095,0.4378378313168976,0.3735948258497555,0.38707845898088084,0.5103763955509829,0.4294673497998497,0.45124123401882643
2.5e-05,0.5635345392688905,0.4596899716983623,0.48875308411202034,0.4346839949720366,0.36492969360978095,0.38024197306579766,0.5063323810167201,0.41962719158134515,0.4433768624805586
5e-05,0.570212354187354,0.468745109110203,0.4963047032585482,0.4410128307855262,0.3732214508446774,0.38708188775387514,0.5130962233320875,0.4287751498138304,0.4509749466365797
7.5e-05,0.5557993426185038,0.458931970822465,0.4853415462991268,0.4289402092753158,0.36594406337424307,0.37831482235679986,0.5019646597685951,0.4206126894996672,0.4420923665552273
0.0001,0.5627370626031222,0.4626064638245281,0.49052287199785155,0.4360098973652346,0.3673843310479594,0.3831041561224326,0.5081776498478032,0.42429612182492227,0.4472595541173508
0.00025,0.5684224842505154,0.4640046473462086,0.4933998373210338,0.44377103492913056,0.370305756903564,0.3870683307222369,0.5170327062937804,0.4281635338171395,0.45283312748582644
0.0005,0.561926879419971,0.46734224564008675,0.4928028031935646,0.4316094215946472,0.3698281470424293,0.3822859828115993,0.5049914993673077,0.4268484146892921,0.44735870811516587
0.00075,0.5628876465116955,0.4632883060202016,0.4904412253656102,0.43342498701834664,0.3683651375098579,0.38173600148895864,0.5089084113816035,0.42578481989557626,0.44789090724134345
0.001,0.5644580726723477,0.46233133903159884,0.49086585844812025,0.4364489015531635,0.366695944489676,0.38216037760934335,0.5109996041630908,0.4242191361889003,0.448060051021979
0.0025,0.5657078578216316,0.46911267829098097,0.4943958353239656,0.4397293540435849,0.3730315915154709,0.3865124704488832,0.5138318396087079,0.4316474971743938,0.45270620011654383
0.005,0.5342714694068964,0.47489784380290156,0.4808973798038601,0.4165964878268547,0.3810998440073281,0.3779259934623324,0.4867607119499054,0.43669998907333507,0.4408500586857757
0.0075,0.4573820638245206,0.4892189933594976,0.44277363501834965,0.34916169383204193,0.38975838279166264,0.3414733566501547,0.41588986740172945,0.44921822799347993,0.4053477282162467
0.01,0.34771986006211963,0.5249908219140124,0.3943711181476932,0.2625609355220212,0.41853757104360423,0.30047708988580013,0.32154190298242125,0.4856005917706665,0.36486286476517055
0.025,0.2616348841419998,0.48494878443888345,0.325641120587427,0.1780928426825422,0.38544305768586123,0.2327519869030011,0.23723560595374465,0.4481328457742929,0.29774810908323546
0.05,0.39307509513747163,0.4542693988866783,0.39435392727866536,0.2792587642279167,0.3500854318353661,0.2879015482648486,0.34945762936889085,0.41185793277066846,0.35408212741010947
0.075,0.44051652554179427,0.44793146564718705,0.41806575425830395,0.31866822660740013,0.3480411905274243,0.3103377679445382,0.3931083317774064,0.408701704611428,0.37762795923713327
0.1,0.4720990551177373,0.4428043640296708,0.43474107167192694,0.3450902836844298,0.3444216048638445,0.3246094768388926,0.4221931088309754,0.40308548135103134,0.39248866581037356
0.2,0.5358039610114241,0.44505220843836985,0.46924309464919706,0.38963777518999615,0.3422173584394184,0.3489599718771186,0.47357787825265857,0.40021323134807657,0.4189639456812188
0.3,0.550408664832971,0.4574220959615725,0.48271285247279583,0.4064949563271792,0.35740452910157194,0.36481024974789483,0.48687811961596456,0.4127484965430619,0.43195249340296255
0.4,0.5460561729377603,0.4542345011308477,0.4793260361898761,0.40289331168805326,0.35529604695356365,0.3624387076975468,0.48426276848281097,0.41013667079985755,0.42958576387840125
0.5,0.5481520867393617,0.45322889856506415,0.4791085896225153,0.40432824038937076,0.3540850705686816,0.36164467642934744,0.4859104053811962,0.40928521250431127,0.42931223457546974
0.6,0.5537054547454185,0.4562443976640612,0.4834997435203934,0.4108028434618221,0.35807614914859937,0.3671289227845336,0.49091157781624634,0.41190852206587786,0.43325252240638606
0.7,0.5473370110950502,0.4528707181652611,0.4787798414531791,0.40422125421792326,0.3546270428061708,0.3621771685689419,0.48349787117218446,0.40766731652159144,0.4276727208893665
0.8,0.5518920144527795,0.45473526529939895,0.4815104064841198,0.40723755712085374,0.3553383043103284,0.36346731867563914,0.48768898588693665,0.4094560829257062,0.43018864868984247
0.9,0.5506857909420515,0.4549766422677226,0.4811931613314814,0.40686160462956544,0.35588052669183606,0.3638386936604256,0.48723126147344104,0.40988682084330025,0.43019383777934594
1.0,0.5511642940380445,0.453391204277701,0.4801002397902051,0.4074506104903827,0.35486602284404006,0.36307533730545516,0.4878985948478111,0.4086743121187048,0.4294428374314207
2.0,0.553063298069166,0.45378302682158567,0.4810821480932341,0.41091373220562283,0.35552455796637367,0.36488773448691664,0.4890763360951351,0.40845292738624406,0.429823986425978
3.0,0.552207024870767,0.454994290761584,0.4815415956801921,0.4086447039921639,0.35565355248671443,0.3641746507326706,0.48664609651482277,0.40839127046737767,0.42888402555658195
4.0,0.5491425964915861,0.4523198955351155,0.4787217491364468,0.4037520636521321,0.3522879585119518,0.36037357934721415,0.4836324031333421,0.40592375066251335,0.42630089635901847
5.0,0.5477973980442903,0.45053490132132573,0.47694251882064104,0.4039420354540348,0.35157605630438793,0.35975089886969086,0.48341997337640535,0.40506902042430143,0.42547020344971187
6.0,0.5455062429207833,0.451882660052828,0.47690404977585604,0.4019014269068937,0.3533639935835754,0.36019887948863666,0.48265968384158964,0.4076728547114962,0.4268041501797109
7.0,0.5535632992832501,0.4550950835167495,0.482231673326941,0.4114395635814645,0.3571091834869941,0.36627947944643685,0.49161051597923294,0.41117847274866637,0.432583391824891
8.0,0.5495728803599285,0.4523806923758243,0.47893588514826924,0.406861154100376,0.3539227482307671,0.36248062555800004,0.4858571524036517,0.40737576794471025,0.4280806193084618
9.0,0.5516782190592316,0.4534543943000098,0.48027110243459303,0.4072282684523052,0.35454370954100495,0.3629758851585557,0.4873854343183966,0.4080815752175206,0.4289113405487088
10.0,0.5464948618460429,0.4521552208963942,0.47769421768271725,0.404131219794405,0.3534104417663895,0.36115765379673825,0.4844649478910211,0.40810668146178614,0.427971550107512
